GEOID,NAME,REGION
12060,"Atlanta-Sandy Springs-Roswell, GA",South
12420,"Austin-Round Rock, TX",South
12580,"Baltimore-Columbia-Towson, MD",South
13820,"Birmingham-Hoover, AL",South
14460,"Boston-Cambridge-Newton, MA-NH",Northeast
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Northeast
16740,"Charlotte-Concord-Gastonia, NC-SC",South
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Midwest
17140,"Cincinnati, OH-KY-IN",Midwest
17460,"Cleveland-Elyria, OH",Midwest
18140,"Columbus, OH",Midwest
19100,"Dallas-Fort Worth-Arlington, TX",South
19740,"Denver-Aurora-Lakewood, CO",West
19820,"Detroit-Warren-Dearborn, MI",Midwest
25540,"Hartford-West Hartford-East Hartford, CT",Northeast
26420,"Houston-The Woodlands-Sugar Land, TX",South
26900,"Indianapolis-Carmel-Anderson, IN",Midwest
27260,"Jacksonville, FL",South
28140,"Kansas City, MO-KS",Midwest
29820,"Las Vegas-Henderson-Paradise, NV",West
31080,"Los Angeles-Long Beach-Anaheim, CA",West
31140,"Louisville/Jefferson County, KY-IN",South
32820,"Memphis, TN-MS-AR",South
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",South
33340,"Milwaukee-Waukesha-West Allis, WI",Midwest
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",South
35380,"New Orleans-Metairie, LA",South
35620,"New York-Newark-Jersey City, NY-NJ-PA",Northeast
36420,"Oklahoma City, OK",South
36740,"Orlando-Kissimmee-Sanford, FL",South
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Northeast
38060,"Phoenix-Mesa-Scottsdale, AZ",South
38300,"Pittsburgh, PA",Northeast
38900,"Portland-Vancouver-Hillsboro, OR-WA",West
39300,"Providence-Warwick, RI-MA",Northeast
39580,"Raleigh, NC",South
40060,"Richmond, VA",South
40140,"Riverside-San Bernardino-Ontario, CA",West
40900,"Sacramento--Roseville--Arden-Arcade, CA",West
41180,"St. Louis, MO-IL",Midwest
41620,"Salt Lake City, UT",West
41700,"San Antonio-New Braunfels, TX",South
41740,"San Diego-Carlsbad, CA",West
41860,"San Francisco-Oakland-Hayward, CA",West
41940,"San Jose-Sunnyvale-Santa Clara, CA",West
42660,"Seattle-Tacoma-Bellevue, WA",West
45300,"Tampa-St. Petersburg-Clearwater, FL",South
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",South
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",South
